"Quarter","ridership_index","employment_index"
"2019Q1",100,100
"2019Q2",104,100
"2019Q3",107,98
"2019Q4",103,96
"2020Q1",97,95
"2020Q2",43,82
"2020Q3",48,90
"2020Q4",43,90
"2021Q1",41,90
"2021Q2",49,93
"2021Q3",54,94
"2021Q4",57,93
"2022Q1",59,96
"2022Q2",64,99
"2022Q3",75,100
"2022Q4",77,103
"2023Q1",76,100
"2023Q2",78,105
"2023Q3",80,106
"2023Q4",77,106
"2024Q1",75,91
"2024Q2",76,92
"2024Q3",93,93
"2024Q4",86,86
